exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,1000,4,250,20,1,inner_segment,sub_0,449702,56042,2.2633,0.5016,4.975,,,627.14
2,1000,4,250,20,1,inner_segment,sub_1,449702,56042,2.2633,0.5187,5.074,,,627.02
2,1000,4,250,20,1,inner_segment,sub_2,449702,56042,2.2633,0.5281,5.1492,,,627.05
2,1000,4,250,20,1,inner_segment,sub_3,449702,56042,2.2633,0.5641,7.152,,,627.2
2,1000,4,250,20,1,outer_recursive,recursion,3013555,2926,0.3086,0.1996,40.9016,0.0138,14656,4166.11
2,1000,4,250,20,2,inner_segment,sub_0,449702,56042,2.2633,0.5217,7.0253,,,627.26
2,1000,4,250,20,2,inner_segment,sub_1,449702,56042,2.2633,0.6005,6.9679,,,627.3
2,1000,4,250,20,2,inner_segment,sub_2,449702,56042,2.2633,0.594,6.9738,,,627.19
2,1000,4,250,20,2,inner_segment,sub_3,449702,56042,2.2633,0.6005,6.9802,,,627.31
2,1000,4,250,20,2,outer_recursive,recursion,3013555,2926,0.2334,0.1965,40.7971,0.0139,14656,4122.21
2,1000,2,500,20,1,inner_segment,sub_0,898202,112292,4.7199,0.9914,9.4732,,,1251.91
2,1000,2,500,20,1,inner_segment,sub_1,898202,112292,4.7199,1.0193,9.8078,,,1251.79
2,1000,2,500,20,1,outer_recursive,recursion,1476633,2464,0.2312,0.1891,21.3251,0.0157,14656,2092.25
2,1000,2,500,20,2,inner_segment,sub_0,898202,112292,4.7199,1.0117,13.1132,,,1251.77
2,1000,2,500,20,2,inner_segment,sub_1,898202,112292,4.7199,1.0409,12.3534,,,1251.71
2,1000,2,500,20,2,outer_recursive,recursion,1476633,2464,0.2285,0.1905,22.9772,0.0149,14656,2076.34
